# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.apply.loaded.storage.ms,1773245509914000000,1773245570114000000,3208
workspaceModel.moduleManagerBridge.newModule.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773245509914000000,1773245570114000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773245509914000000,1773245570114000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773245509914000000,1773245570114000000,679
jps.module.iml.entities.serializer.save.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.global.updates.ms,1773245509914000000,1773245570114000000,39
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773245509914000000,1773245570114000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1773245509914000000,1773245570114000000,0
jps.library.entities.serializer.save.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.sync.entities.ms,1773245509914000000,1773245570114000000,0
jps.load.initial.state.ms,1773245509914000000,1773245570114000000,40
workspaceModel.mutableEntityStorage.collect.changes.ms,1773245509914000000,1773245570114000000,4
workspaceModel.global.updates.count,1773245509914000000,1773245570114000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1773245509914000000,1773245570114000000,5
jps.artifact.entities.serializer.load.entities.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773245509914000000,1773245570114000000,116
jps.reload.project.entities.ms,1773245509914000000,1773245570114000000,0
jps.global.get.library.ms,1773245509914000000,1773245570114000000,0
jps.library.entities.serializer.load.entities.ms,1773245509914000000,1773245570114000000,1
jps.artifact.entities.serializer.save.entities.ms,1773245509914000000,1773245570114000000,0
jps.global.initialize.library.bridges.after.loading.ms,1773245509914000000,1773245570114000000,7
jps.project.serializers.load.ms,1773245509914000000,1773245570114000000,317
workspaceModel.moduleBridge.update.option.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773245509914000000,1773245570114000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1773245509914000000,1773245570114000000,67
workspaceModel.global.apply.state.to.project.ms,1773245509914000000,1773245570114000000,180
workspaceModel.load.cache.metadata.from.file.ms,1773245509914000000,1773245570114000000,174
workspaceModel.moduleManagerBridge.get.modules.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773245509914000000,1773245570114000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773245509914000000,1773245570114000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773245509914000000,1773245570114000000,0
JVM.GC.collections,1773245509914000000,1773245570114000000,39
JVM.totalBytesAllocated,1773245509914000000,1773245570114000000,3698165232
JVM.GC.collectionTimesMs,1773245509914000000,1773245570114000000,3798
JVM.newThreadsCount,1773245509914000000,1773245570114000000,414
JVM.totalDirectByteBuffersBytes,1773245509914000000,1773245570114000000,247305916
JVM.usedNativeBytes,1773245509914000000,1773245570114000000,321867080
JVM.threadCount,1773245509914000000,1773245570114000000,398
OS.loadAverage,1773245509914000000,1773245570114000000,89.7265625
JVM.usedHeapBytes,1773245509914000000,1773245570114000000,593494016
JVM.maxHeapBytes,1773245509914000000,1773245570114000000,2147483648
JVM.totalCpuTimeMs,1773245509914000000,1773245570114000000,129103
JVM.maxThreadCount,1773245509914000000,1773245570114000000,399
VFS.fileByIdCache.hits,1773245509914000000,1773245570114000000,0
FileNameCache.queries,1773245509914000000,1773245570114000000,1925824
VFS.fileChildByName,1773245509914000000,1773245570114000000,1937
VFS.invertedFileNameIndex.requests,1773245509914000000,1773245570114000000,4
FileNameCache.totalMisses,1773245509914000000,1773245570114000000,162880
VFS.fileByIdCache.misses,1773245509914000000,1773245570114000000,363
Indexes.entries.lookups,1773245509914000000,1773245570114000000,0.0
Indexes.allKeys.lookupDuration90PMs,1773245509914000000,1773245570114000000,0.0
IndexesFlusher.totalFlushes,1773245509914000000,1773245570114000000,86
Indexes.stubs.lookups,1773245509914000000,1773245570114000000,0.0
IndexesFlusher.totalFlushesRetried,1773245509914000000,1773245570114000000,2
Indexes.stubs.lookupDurationMaxMs,1773245509914000000,1773245570114000000,0.0
Indexes.entries.lookupDurationAvgMs,1773245509914000000,1773245570114000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1773245509914000000,1773245570114000000,0.0
Indexes.stubs.lookupDuration90PMs,1773245509914000000,1773245570114000000,0.0
